ID,Treat,Time,Date,Plot,key,value
SHU3_2.JPG,High,2,Nov-17,SHU3,Other,68
SHU4_1.JPG,High,1,May-17,SHU4,Other,82
SHU4_2.JPG,High,2,Nov-17,SHU4,Other,66
SHU4_3.JPG,High,3,Nov-18,SHU4,Other,50
SHU5_1.JPG,High,1,May-17,SHU5,Other,48
SHU5_2.JPG,High,2,Nov-17,SHU5,Other,48
SHU5_3.JPG,High,3,Nov-18,SHU5,Other,70
SLU1_1.JPG,Low,1,May-17,SLU1,Other,84
SLU1_2.JPG,Low,2,Nov-17,SLU1,Other,80
SLU2_1.JPG,Low,1,May-17,SLU2,Other,90
SLU2_2.JPG,Low,2,Nov-17,SLU2,Other,82
SLU2_3.JPG,Low,3,Nov-18,SLU2,Other,74
SLU3_1.JPG,Low,1,May-17,SLU3,Other,80
SLU3_2.JPG,Low,2,Nov-17,SLU3,Other,64
SLU3_3.JPG,Low,3,Nov-18,SLU3,Other,66
SLU4_1.JPG,Low,1,May-17,SLU4,Other,78
SLU4_2.JPG,Low,2,Nov-17,SLU4,Other,88
SLU4_3.JPG,Low,3,Nov-18,SLU4,Other,50
SLU5_1.JPG,Low,1,May-17,SLU5,Other,88
SLU5_2.JPG,Low,2,Nov-17,SLU5,Other,74
SLU5_3.JPG,Low,3,Nov-18,SLU5,Other,62
SOU1_1.jpg,Control,1,May-17,SOU1,Other,70
SOU1_2.JPG,Control,2,Nov-17,SOU1,Other,96
SOU2_1.JPG,Control,1,May-17,SOU2,Other,48
SOU2_2.JPG,Control,2,Nov-17,SOU2,Other,26
SOU2_3.JPG,Control,3,Nov-18,SOU2,Other,26
SOU3_1.JPG,Control,1,May-17,SOU3,Other,82
SOU3_2.JPG,Control,2,Nov-17,SOU3,Other,80
SOU3_3.JPG,Control,3,Nov-18,SOU3,Other,66
SOU4_1.JPG,Control,1,May-17,SOU4,Other,88
SOU4_2.JPG,Control,2,Nov-17,SOU4,Other,72
SOU5_1.JPG,Control,1,May-17,SOU5,Other,54
SOU5_2.JPG,Control,2,Nov-17,SOU5,Other,88
SOU5_3.JPG,Control,3,Nov-18,SOU5,Other,26
